ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time
8035,東京エレクトロン,半導体製造装置,JP,39330.0,-2.38,2656600,3244595,0.82,46230.0,16890.33,76.5,41698.5,41314.4,30735.0,34.1,-615.376,-250.7664,-364.6095,46609.58,36787.42,25.9,なし,33.44,,17966619951104,-15.7,153.0,47433.332,20.6,2026-03-20T23:41:56.245644
6920,レーザーテック,半導体検査装置,JP,35090.0,-2.58,3239200,4500000,0.72,39220.0,10327.44,85.7,34085.5,33749.7,23993.93,54.5,996.0476,783.2678,212.7798,38401.81,29769.19,61.6,なし,37.45,,3162051969024,-19.7,94.0,35900.0,2.3,2026-03-20T23:41:56.736969
6146,ディスコ,半導体製造装置,JP,69580.0,-1.56,2255700,2246420,1.0,80000.0,23534.81,81.5,72371.5,67992.0,49902.82,41.3,236.5027,1016.809,-780.3063,79500.13,65242.87,30.4,なし,59.88,,7544596070400,16.8,63.0,69036.84,-0.8,2026-03-20T23:41:57.201574
6857,アドバンテスト,半導体テスト装置,JP,23980.0,-4.58,8793000,9489925,0.93,28615.0,5023.91,80.4,25286.5,24624.6,16953.65,39.3,-292.2702,-74.5076,-217.7626,28261.19,22311.81,28.0,なし,67.57,,17409825046528,25.5,20.0,28372.223,18.3,2026-03-20T23:41:57.711436
6526,ソシオネクスト,SoC設計,JP,1733.0,-4.33,3602000,4038355,0.89,3491.0,1304.32,19.6,1860.98,2060.68,2458.14,28.7,-85.1195,-86.3093,1.1898,2061.68,1660.27,18.1,なし,30.77,,303698345984,19.2,289.0,2580.0,48.9,2026-03-20T23:41:58.119697
7011,三菱重工業,防衛/エネルギー,JP,4848.0,-3.04,22002700,26663210,0.83,5195.0,2059.08,88.9,4828.0,4735.66,4042.04,45.4,28.6488,26.713,1.9358,5137.18,4518.82,53.2,なし,59.52,,16289841020928,-2.9,50.0,5321.933,9.8,2026-03-20T23:41:58.562144
6861,キーエンス,FA/センサー,JP,59080.0,-2.59,698200,941740,0.74,66839.7,50110.86,53.6,61581.4,59096.16,57097.5,32.1,208.8186,614.1631,-405.3445,66355.46,56807.34,23.8,なし,35.09,,14328388386816,,93.0,70617.65,19.5,2026-03-20T23:41:59.008069
4063,信越化学工業,半導体材料,JP,6373.0,-5.16,10998400,9860285,1.12,6720.0,3509.83,89.2,6176.65,5693.08,4900.28,54.2,256.4551,243.0562,13.3989,6710.09,5643.21,68.4,なし,24.69,,11942897909760,-2.1,166.0,6334.706,-0.6,2026-03-20T23:41:59.688205
6963,ローム,半導体/電子部品,JP,3213.0,-2.43,6985500,6472305,1.08,3474.0,1079.8,89.1,3045.5,2748.57,2214.43,62.7,184.1622,177.9808,6.1814,3611.19,2479.81,64.8,なし,36.98,,1240331452416,,156.0,2595.0,-19.2,2026-03-20T23:42:00.126267
6723,ルネサスエレクトロニクス,半導体/マイコン,JP,2505.5,-3.0,14330000,10997570,1.3,3103.0,1362.13,65.7,2687.8,2629.29,2045.08,30.7,-53.992,-23.681,-30.311,3076.45,2299.15,26.5,なし,10.72,,4532912783360,20.1,112.0,2993.077,19.5,2026-03-20T23:42:00.545989
