ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,vol_5d,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time,price_5y_ago,price_3y_ago,price_1y_ago,change_5y_pct,change_3y_pct,change_1y_pct,high_1y,high_1y_date,low_1y,low_1y_date
QQQ,Invesco NASDAQ 100,指数ETF,US,674.15,0.96,38824943,41319257,0.94,"32717000,34147900,31724900,40396300,38824943",674.15,414.06,100.0,638.2,612.34,602.86,82.8,18.329,15.6322,2.6969,690.76,585.64,84.2,なし,35.62,,,,49.0,,,2026-05-01T22:48:42.058526,,313.81,479.36,,114.8,40.6,675.97,2026-05-01,474.48,2025-05-07
SOXX,iShares Semiconductor,半導体ETF,US,465.75,0.93,4067278,6133758,0.66,"8924600,11014900,5972800,5170200,4067278",465.75,153.88,100.0,414.48,369.81,309.26,80.6,28.6171,25.063,3.5541,488.31,340.64,84.7,なし,52.3,,,,51.0,,,2026-05-01T22:48:42.735738,,134.8,182.42,,245.5,155.3,466.84,2026-05-01,183.1,2025-05-06
ARKK,ARK Innovation,イノベーションETF,US,76.92,1.42,5580389,9000004,0.62,"5877600,9649800,9710000,7443000,5580389",92.53,40.51,70.0,74.71,72.49,77.79,62.0,1.35,1.4363,-0.0863,82.14,67.29,64.9,なし,50.65,,,,,,,2026-05-01T22:48:43.416201,,34.61,50.77,,122.2,51.5,92.65,2025-10-08,48.53,2025-05-06
XLF,Financial Select SPDR,金融ETF,US,51.92,-0.4,38536266,32689448,1.18,"25764300,24337500,22153100,31391900,38536266",56.11,43.25,67.4,51.66,50.57,52.3,53.8,0.4416,0.46,-0.0184,53.15,50.16,58.8,なし,17.51,,,,160.0,,,2026-05-01T22:48:44.186180,,30.8,48.01,,68.6,8.1,56.23,2026-01-06,47.67,2026-03-27
XLE,Energy Select SPDR,エネルギーETF,US,58.85,-1.34,35100750,44279847,0.79,"33070600,39151300,40616700,35870300,35100750",62.56,37.03,85.5,57.3,57.52,47.99,59.1,0.2163,-0.0567,0.273,60.33,54.26,75.6,なし,22.68,,,,244.0,,,2026-05-01T22:48:44.972590,,36.51,39.14,,61.2,50.3,63.46,2026-03-30,38.73,2025-05-07
XLV,Health Care Select SPDR,ヘルスケアETF,US,145.16,-0.57,8744286,8180844,1.07,"6571900,8612400,11885500,12567600,8744286",159.54,126.51,56.5,146.53,149.09,145.98,41.7,-1.1574,-1.1178,-0.0396,150.41,142.64,32.4,なし,25.57,,,,171.0,,,2026-05-01T22:48:45.713117,,127.13,134.25,,14.2,8.1,159.93,2026-01-07,125.12,2025-05-15
8035,東京エレクトロン,半導体製造装置,JP,47450.0,6.89,5915900,3206605,1.84,"2312400,3605000,3291600,4081000,5915900",47450.0,16733.85,100.0,43715.5,41853.82,33066.57,60.3,1553.3113,1379.6556,173.6557,49106.31,38324.69,84.6,なし,37.88,2.1,21675976425472.0,8.6,152.0,48580.953,2.4,2026-05-01T22:48:46.393567,,14844.21,20804.51,,219.7,128.1,48190.0,2026-05-01,19490.13,2025-09-03
6920,レーザーテック,半導体検査装置,JP,42930.0,0.56,7701500,4920500,1.57,"4801300,4078300,3858100,3092200,7701500",45770.0,10327.44,92.0,41655.0,37037.0,27363.43,53.7,2151.353,2255.9019,-104.5489,47331.72,35978.28,61.2,なし,44.44,,3847844790272.0,3.5,77.0,37200.0,-13.3,2026-05-01T22:48:47.234654,,17631.8,13054.51,,143.5,228.9,46450.0,2026-04-27,12877.3,2025-05-02
6146,ディスコ,半導体製造装置,JP,72250.0,-2.38,1636400,2490555,0.66,"2782200,3125800,2920700,2488500,1636400",79547.88,23401.8,87.0,70719.5,70172.27,54416.63,62.0,1775.8104,1497.6906,278.1198,78631.92,62807.08,59.7,なし,57.76,2.6,7836381216768.0,,70.0,76950.0,6.5,2026-05-01T22:48:47.952456,,15480.96,28806.03,,366.7,150.8,80542.22,2026-02-26,27844.18,2025-05-02
6857,アドバンテスト,半導体テスト装置,JP,27815.0,-1.57,7144100,10623720,0.67,"15405700,18594000,19894900,13127400,7144100",31500.0,5017.08,86.1,26676.0,25274.93,19291.2,60.5,1361.0988,1215.3261,145.7727,31992.59,21359.41,60.7,なし,54.05,1.3,20180220510208.0,41.2,22.0,31865.0,14.6,2026-05-01T22:48:48.698983,,2742.1,6245.94,,914.4,345.3,32400.0,2026-04-27,6115.38,2025-05-02
